user_id,utc_date,model,wallet_type,cost,currency
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-pro,Paid,1.1194838000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-01,deepseek-v4-flash,Paid,0.0350524400000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-02,deepseek-v4-pro,Paid,2.4836766000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-02,deepseek-v4-flash,Paid,0.3738798800000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-03,deepseek-v4-pro,Paid,0.3706530000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-03,deepseek-v4-flash,Paid,0.0088485600000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-04,deepseek-v4-pro,Paid,0.3451294000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-04,deepseek-v4-flash,Paid,0.0038800000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-05,deepseek-v4-pro,Paid,0.3016682000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-05,deepseek-v4-flash,Paid,0.0069765600000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-06,deepseek-v4-pro,Paid,0.0007740000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-06,deepseek-v4-flash,Paid,0.0002210000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-07,deepseek-v4-pro,Paid,1.6010654000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-07,deepseek-v4-flash,Paid,0.0251660000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-08,deepseek-v4-pro,Paid,1.0728134000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-08,deepseek-v4-flash,Paid,0.0004800000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-09,deepseek-v4-pro,Paid,1.0241616000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-09,deepseek-v4-flash,Paid,0.0082801200000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-10,deepseek-v4-pro,Paid,4.2253698000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-10,deepseek-v4-flash,Paid,0.0099660000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-11,deepseek-v4-pro,Paid,2.6392174000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-11,deepseek-v4-flash,Paid,0.5273591200000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-12,deepseek-v4-pro,Paid,8.4796030000000000,CNY
63431cad-7ca9-48c9-91d0-38569e772819,2026-06-12,deepseek-v4-flash,Paid,0.9951291200000000,CNY
